"R0000100","R0002300","R0365500","R0385200","R0530300","R0543950","R0587700","R0635500","R0682100"
1025,1,6500,1,-1,1,0,0,1
1026,1,5500,1,8700,1,10400,0,1
1027,1,2380,3,5234,1,11000,-5,3
1028,1,6000,1,8000,1,11000,12000,1
1029,1,-5,-5,-5,-5,-5,-5,-5
1030,1,10000,1,12000,1,16000,20000,1
1031,1,7500,1,15000,1,26000,22880,1
1032,1,-5,-5,-5,-5,-5,-5,-5
1033,1,11700,1,13000,1,15500,17500,1
1034,1,5000,1,7500,1,8000,8000,1
1035,1,-5,-5,-5,-5,-5,-5,-5
1036,1,3000,1,5500,1,2300,2400,1
1037,1,11720,1,18000,1,24000,25451,1
1038,1,14000,1,21000,1,23000,30000,1
1039,1,5500,1,-5,-5,7000,8900,1
1040,1,7500,1,11000,1,12000,-1,1
1041,1,2200,3,6000,3,8000,11000,1
1042,1,500,4,-5,-5,-5,-5,-5
1043,1,-5,-5,603,1,500,1200,1
1044,1,6000,1,10000,1,11000,12000,1
1045,1,2000,4,-5,-5,7000,28000,1
1046,1,5250,1,8500,1,10000,13500,1
1047,1,7500,1,12000,1,12324,20000,1
1048,1,60,1,0,1,0,0,1
1049,1,4500,1,5000,1,8300,2860,1
1050,1,8200,1,9000,1,14000,18000,-5
1051,1,7000,1,1620,1,10000,0,1
1052,1,1300,1,11746,1,15000,14324,1
1053,1,7500,1,12000,1,11000,15500,1
1054,1,8000,1,6000,1,4000,6400,1
1055,1,-5,-5,10000,1,6000,-5,-5
1056,1,8600,1,12000,1,12000,20000,1
1057,1,4000,1,-5,-5,-5,-5,-5
1058,1,10200,1,16000,1,22000,26000,1
1059,1,3200,1,16000,1,22000,29000,1
1060,1,12000,1,16500,1,20000,22000,1
1061,1,6300,1,17000,1,18500,22000,1
1062,1,10500,1,13000,1,18000,14000,1
1063,1,2400,4,15500,1,20000,28000,1
1064,1,14000,1,17000,1,17000,40000,1
1065,1,12000,1,0,1,9000,-1,1
1066,1,10450,1,-5,-5,-5,-5,-5
1067,1,9300,1,10000,1,15000,10600,1
1068,1,8000,1,10000,1,12000,23000,1
1069,1,2800,1,-5,-5,-5,-5,-5
1070,1,11500,1,26000,1,34000,37000,1
1071,1,7350,3,14888,1,20000,0,-5
1072,2,-5,-5,-5,-5,-5,-5,-5
1073,2,-5,-5,-5,-5,-5,-5,-5
1074,2,2400,3,-5,-5,-5,-5,-5
1075,2,5000,1,9600,3,-5,-5,1
1076,2,800,4,14500,1,17300,-1,1
1077,2,10500,1,18000,1,22000,25000,1
1078,2,900,2,11000,1,7000,-5,1
1079,1,8000,1,4000,1,14000,25000,1
1080,1,847,8,9000,1,-5,-5,-5
1081,2,6700,1,16000,1,20000,27500,1
1082,2,-5,-5,-5,-5,-5,-5,-5
1083,2,-5,-5,-5,-5,-5,-5,-5
1084,1,3000,1,5999,1,12000,17600,1
1085,1,-5,-5,-5,-5,15000,5000,1
1086,2,0,8,0,3,-5,300,3
1087,2,2102,1,-5,-5,-5,-5,3
1088,1,-4,1,-1,1,-1,-1,1
1089,1,5000,1,14000,1,15000,22000,1
1090,1,500,4,10500,1,17000,16500,1
1091,1,7000,4,9000,1,12000,0,3
1092,2,5400,1,-5,-5,-5,-5,-5
1093,2,-4,1,-5,-5,-5,-5,-5
1094,1,10000,1,15000,1,18000,0,1
1095,1,6600,1,10000,2,2000,1800,1
1096,1,1500,1,2000,1,2100,5000,3
1097,1,11000,1,17000,1,17600,18900,1
1098,1,3300,4,19300,1,27000,31000,2
1099,1,-5,-5,5000,1,9600,8000,1
1100,1,-5,-5,9500,1,0,6500,6
1101,1,8000,1,12000,1,15000,20000,1
1102,1,8000,1,9000,1,7000,10500,1
1103,1,4600,8,0,1,0,-5,-5
1104,1,5200,1,12000,1,11700,17900,1
1105,1,19000,1,30000,1,36000,45000,1
1106,1,-5,-5,-5,-5,-5,-5,-5
1107,1,3400,1,11000,1,12000,13000,-5
1108,1,11200,1,-1,1,-1,0,1
1109,1,-5,-5,-5,-5,-5,-5,-5
1110,1,300,1,7800,1,15000,11000,3
1111,1,-5,-5,40000,1,50000,50000,1
1112,1,12000,1,30000,1,0,36000,1
1113,1,10000,1,18000,1,0,-5,-5
1114,1,11000,1,10000,1,16000,0,1
1115,1,14500,1,15000,1,19000,45000,1
1116,1,2000,1,4000,1,6000,-1,1
1117,1,-5,-5,-5,-5,-5,-5,-5
1118,1,-5,-5,-5,-5,-5,-5,-5
1119,1,4740,1,9000,1,17000,18772,1
1120,1,12000,1,0,1,0,0,1
1121,1,9200,1,18500,1,22000,24000,1
1122,1,11000,1,16800,1,19000,22000,1
1123,1,8000,1,0,3,-5,-5,-5
1124,1,0,1,13000,1,16000,0,-5
1125,1,0,1,0,1,25000,22000,1
1126,1,-5,-5,5800,3,10000,12000,3
1127,1,3700,1,5200,1,6084,5954,1
1128,1,-5,-5,-5,-5,-5,-5,-5
1129,1,9000,1,11000,1,17500,14000,1
1130,1,13,1,20000,1,31000,27000,1
1131,1,6000,1,12000,1,11800,16000,6
1132,2,10500,1,18500,1,2600,27000,1
1133,2,13000,1,18000,1,28000,-4,1
1134,2,350,3,10000,1,10448,14000,1
1135,2,-5,-5,13000,1,19900,14532,1
1136,2,2000,1,-5,-5,-5,-5,3
1137,1,0,1,-5,-5,-5,-5,-5
1138,1,-5,-5,-5,-5,-5,-5,-5
1139,1,-5,-5,10000,1,11648,11950,1
1140,1,600,4,-4,1,7250,975,1
1141,1,14000,1,15000,1,22000,30000,1
1142,1,8000,1,20000,2,21000,29000,1
1143,1,4744,3,0,4,0,5000,1
1144,1,400,1,12000,1,15000,200,4
1145,1,1900,4,12000,1,14000,19000,1
1146,1,10000,1,15000,1,15500,20000,1
1147,1,8500,1,15000,1,16000,19500,1
1148,1,9500,1,17000,1,20000,25500,1
1149,1,5340,1,0,1,0,12000,1
1150,2,7000,1,12300,1,18000,-4,1
1151,2,9000,8,-5,-5,-5,-5,-5
1152,1,3200,1,8500,1,18000,-4,1
1153,1,2400,4,2500,4,15000,-4,1
1154,1,800,1,8840,1,10400,16000,1
1155,1,1000,2,4420,1,0,1560,1
1156,1,7000,1,14000,8,12480,17500,1
1157,1,-5,-5,-5,-5,-5,-5,1
1158,1,6700,1,11000,1,14000,17500,1
1159,1,7500,2,16000,1,19000,20000,2
1160,1,3000,1,9140,1,14000,19196,1
1161,1,4200,3,6500,2,0,-4,1
1162,1,5000,1,15000,1,18000,20000,1
1163,1,8000,1,17000,1,24000,26000,1
1164,2,-5,-5,-5,-5,-5,-5,-5
1165,2,5000,1,-5,-5,15000,22516,1
1166,2,-5,-5,-5,-5,-5,-5,-5
1167,2,-5,-5,-5,-5,-5,-5,-5
1168,1,12500,1,13000,1,13000,18500,1
1169,2,5000,1,15000,1,20000,25000,1
1170,2,-5,-5,-5,-5,-5,-5,-5
1171,2,-5,-5,-5,-5,9500,10000,1
1172,1,7500,1,14000,1,20000,24000,1
1173,1,8000,1,18000,1,15500,14800,1
1174,1,-5,-5,-5,-5,-5,-5,-5
1175,1,800,3,10000,1,0,0,1
1176,1,1800,4,2500,1,9250,12000,1
1177,1,-5,-5,8000,1,14000,8000,1
1178,1,18000,1,-5,-5,-5,-5,-5
1179,2,-4,3,15000,1,17500,16500,1
1180,2,2000,1,12000,1,-5,0,2
1181,2,10000,1,0,3,0,0,1
1182,2,-5,-5,-5,-5,-5,-5,-5
1183,2,8200,1,14000,2,17000,13000,1
1184,1,9300,1,14000,1,17500,24000,1
1185,1,8900,1,14000,1,16000,21000,1
1186,1,10500,1,17500,1,28000,-1,1
1187,1,5000,1,10500,1,12500,17000,1
1188,1,400,1,13000,1,-1,18000,1
1189,1,2300,1,6000,1,4368,10000,2
1190,1,2300,8,-5,-5,-5,-5,-5
1191,2,1600,1,7500,3,-5,-5,-5
1192,2,5500,1,10000,2,12000,18000,1
1193,2,900,3,-5,-5,-5,-5,-5
1194,2,-5,-5,-5,-5,-5,-5,-5
1195,2,1000,3,-5,-5,-5,-5,-5
1196,1,-5,-5,-5,-5,-5,-5,-5
1197,2,-5,-5,-5,-5,-5,-5,-5
1198,2,-5,-5,-5,-5,-5,-5,-5
1199,2,-5,-5,-5,-5,-5,-5,-5
1200,2,5700,1,-5,-5,-5,-5,-5
1201,2,6800,1,10600,1,11000,10000,3
1202,2,2000,1,13000,1,7500,3700,1
1203,2,-5,-5,5500,3,3000,3500,1
1204,2,1200,8,-5,-5,-5,-5,-5
1205,1,6000,1,4800,1,5000,7000,1
1206,1,0,8,4200,1,7080,7000,-5
1207,1,7040,1,9600,1,10890,11700,1
1208,1,7500,1,-5,-5,-5,-5,-5
1209,2,2700,1,8000,1,10000,10000,1
1210,2,7364,2,8640,1,12000,20000,1
1211,2,1000,8,-5,-5,-5,-5,-5
1212,2,8000,1,-5,-5,0,0,4
1213,2,2500,1,6500,1,-5,-5,-5
1214,2,-5,-5,-5,-5,-5,-5,-5
1215,2,6120,3,13700,1,18000,16400,-5
1216,2,4590,1,12000,1,10400,17420,1
1217,2,7000,1,-5,-5,-5,-5,-5
1218,1,7350,1,-5,-5,-5,-5,-5
1219,1,1820,1,-5,-5,-5,-5,-5
1220,1,-5,-5,-5,-5,-5,-5,-5
1221,2,-5,-5,0,3,-5,-5,-5
1222,2,-5,-5,-5,-5,-5,-5,-5
1223,2,-5,-5,-5,-5,-5,-5,-5
1224,2,11500,1,25000,1,40000,0,1
1225,2,-5,-5,-5,-5,-5,-5,-5
1226,2,-5,-5,-5,-5,-5,-5,-5
1227,1,-5,-5,30000,1,0,0,1
1228,1,8360,1,14000,1,17500,12000,1
1229,1,-5,-5,-5,-5,-5,-5,-5
1230,1,2000,4,14000,1,-5,-5,-5
1231,1,9000,1,18000,1,18000,24000,1
1232,1,-4,1,-5,-5,-5,-5,-5
1233,2,-5,-5,9800,1,19598,14000,1
1234,2,3000,1,0,3,-5,-5,-5
1235,2,6000,2,9000,3,0,0,6
1236,2,5000,1,5000,3,1000,6000,1
1237,2,1000,3,5000,1,15000,0,-5
1238,2,2300,3,8000,1,9500,-5,-5
1239,2,-5,-5,-5,-5,-5,-5,-5
1240,2,1000,1,-5,-5,-5,0,-5
1241,1,-5,-5,-5,-5,-5,-5,-5
1242,1,-5,-5,-5,-5,-5,-5,-5
1243,1,0,1,16000,1,0,0,1
1244,1,0,1,10000,1,0,0,-5
1245,1,8008,1,13000,1,12000,10000,1
1246,1,11000,1,30000,1,-5,-5,-5
1247,1,5800,1,1800,1,1650,450,1
1248,1,180,1,12000,1,15000,17500,1
1249,1,500,3,0,3,9000,16000,2
1250,1,8400,1,28000,1,22500,25000,1
1251,1,2000,1,3000,1,0,7000,1
1252,1,9500,1,12000,1,-5,12000,1
1253,1,6000,1,22500,1,25000,24000,1
1254,1,1500,1,-5,-5,-5,-5,-5
1255,1,9800,1,17000,2,15000,19000,-5
1256,1,8500,1,15000,1,18500,23000,1
1257,2,400,1,-5,-5,-5,-5,-5
1258,2,-5,-5,4000,1,5000,3000,-5
1259,2,-5,-5,-5,-5,-5,-5,-5
1260,1,12000,1,18000,1,4000,15000,1
1261,1,10700,1,0,4,18000,32100,1
1262,1,8000,1,23000,1,0,20000,1
1263,1,8000,1,16000,1,25000,-5,-5
1264,1,1200,1,4790,1,8600,7432,1
1265,1,6000,1,17640,1,19300,-5,-5
1266,1,2000,1,15000,1,0,-4,1
1267,1,1000,4,21000,1,30500,47000,1
1268,1,2000,1,20000,1,50000,50000,1
1269,1,19000,1,30000,1,30000,42000,1
1270,1,13300,1,-5,-5,-5,-5,-5
1271,1,2400,1,-5,-5,8000,19000,1
1272,1,1800,3,13000,1,18000,27000,1
1273,1,-5,-5,8300,1,10000,11300,1
1274,1,3000,1,-5,-5,-5,-5,-5
1275,2,0,4,3000,1,-5,-5,3
1276,2,5000,1,0,8,350,-5,-5
1277,2,7200,1,9600,1,15000,-5,-5
1278,2,-5,-5,-5,-5,-5,-5,-5
1279,3,7000,1,13000,1,15000,1200,-5
1280,3,-4,3,-5,-5,-5,-5,-5
1281,1,-5,-5,-5,-5,-5,-5,-5
1282,1,7000,1,-5,-5,-5,-5,-5
1283,1,5000,1,2000,1,3000,13000,1
1284,1,12000,1,18000,1,25000,25000,1
1285,1,7500,1,15000,1,15000,18000,1
1286,1,-4,3,12000,1,8000,19000,3
1287,1,-5,-5,15000,1,21000,24000,1
1288,1,0,1,1200,1,0,400,2
1289,1,500,1,11014,1,11500,13364,1
1290,2,1500,1,1500,1,-5,-5,1
1291,2,-5,-5,-5,-5,-5,-5,-5
1292,2,-5,-5,-5,-5,-5,-5,-5
1293,1,7500,1,15000,1,20000,23000,1
1294,1,-5,-5,-5,-5,-5,-5,-5
1295,1,-5,-5,5000,1,10500,-5,-5
1296,1,-5,-5,-5,-5,-5,-5,-5
1297,1,-5,-5,-5,-5,-5,-5,-5
1298,1,2000,4,15000,1,17000,19000,1
1299,1,-5,-5,-5,-5,-5,-5,-5
1300,2,-5,-5,-5,-5,-5,-5,-5
1301,2,0,3,0,8,2000,-5,-5
1302,2,0,3,300,1,5000,-5,-5
1303,2,-5,-5,-5,-5,-5,-5,-5
1304,2,-5,-5,-5,-5,-5,-5,-5
1305,1,-5,-5,14000,1,14000,35000,1
1306,1,7500,1,17300,1,25000,38000,1
1307,1,1300,1,15500,1,19000,30000,1
1308,1,-5,-5,-5,-5,-5,-5,-5
1309,1,-5,-5,-5,-5,-5,-5,-5
1310,1,9500,1,50000,1,24000,24000,2
1311,1,3000,3,17000,1,-1,-5,-5
1312,1,3500,8,16000,1,19240,22256,1
1313,1,11000,1,20000,1,25000,28950,1
1314,1,3500,3,8000,1,-5,-5,3
1315,1,5000,1,14000,1,22000,30000,-5
1316,1,1200,8,0,1,0,0,1
1317,2,0,1,-5,-5,-5,-5,-5
1318,2,0,4,-5,-5,-5,-5,-5
1319,2,0,4,-5,-5,-5,-5,-5
1320,2,1700,3,0,3,0,9000,-5
1321,2,-4,1,-5,-5,-5,-5,-5
1322,2,6000,1,-5,-5,-5,-5,-5
1323,2,12000,1,30000,1,35000,50000,-5
1324,2,-5,-5,-5,-5,-5,-5,-5
1325,2,7000,1,-5,-5,-5,-5,-5
1326,2,3000,1,-5,-5,-5,-5,-5
1327,2,-5,-5,-5,-5,-5,-5,-5
1328,2,800,1,-5,-5,-5,-5,-5
1329,2,-5,-5,-5,-5,-5,-5,-5
1330,2,-5,-5,1000,8,12000,-5,1
1331,2,0,8,-5,-5,-5,-5,-5
1332,3,9000,1,17000,1,20000,25000,1
1333,1,-5,-5,-5,-5,-5,-5,-5
1334,1,8200,1,11000,1,19000,16640,1
1335,2,7800,1,0,8,0,0,8
1336,2,5800,1,13000,1,22000,22000,1
1337,2,6000,1,13000,8,10000,9200,1
1338,1,2500,1,13000,1,18500,20000,1
1339,1,-4,1,-1,1,-1,-1,1
1340,1,-5,-5,11000,1,16000,17500,1
1341,1,-5,-5,-5,-5,-5,-5,-5
1342,1,3000,1,-5,-5,-5,-5,-5
1343,1,-5,-5,-5,-5,-5,-5,-5
1344,1,-5,-5,-5,-5,-5,-5,-5
1345,1,-5,-5,-5,-5,-5,-5,-5
1346,1,-5,-5,-5,-5,-5,-5,-5
1347,2,-5,-5,3450,3,-5,1800,2
1348,2,8581,1,-5,-5,-5,-5,-5
1349,2,7900,1,10000,1,-5,-5,1
1350,2,-5,-5,15000,1,19000,21000,1
1351,2,2000,1,-5,-5,-5,-5,-5
1352,2,3213,3,-5,-5,-5,-5,2
1353,2,376,1,15000,1,18800,12100,1
1354,2,6000,1,5000,1,0,0,3
1355,2,0,4,3000,1,2484,14000,1
1356,2,200,3,3000,1,3000,0,3
1357,2,-5,-5,-5,-5,-5,-5,-5
1358,1,-5,-5,12000,1,15000,17000,1
1359,1,2200,1,6000,1,20000,28000,1
1360,1,11000,1,24000,1,19500,20000,1
1361,1,7000,1,13000,1,14000,22000,-5
1362,1,10000,2,15000,1,19000,25000,1
1363,1,1800,1,8000,1,9500,0,1
1364,1,880,3,9000,1,12000,6400,-5
1365,1,3000,1,12376,1,5760,7500,1
1366,1,-5,-5,-5,-5,-5,-5,-5
1367,1,0,8,-5,-5,-5,-5,-5
1368,2,-5,-5,-5,-5,-5,-5,-5
1369,2,-5,-5,-5,-5,-5,-5,-5
1370,2,10000,1,-1,1,-1,-1,-5
1371,2,8000,1,15000,1,15000,19000,1
1372,2,5900,1,-5,-5,-5,-5,-5
1373,1,-5,-5,-5,-5,-5,-5,-5
1374,1,2300,1,6900,1,7800,12600,1
1375,1,15800,1,20000,1,26000,28000,1
1376,1,-5,-5,-5,-5,-5,-5,-5
1377,1,8200,1,15000,1,21000,20000,1
1378,1,0,1,-5,-5,-5,-5,-5
1379,1,0,1,16000,1,11000,0,-5
1380,1,3000,1,0,1,0,0,1
1381,1,430,1,-5,-5,-5,-5,-5
1382,1,-5,-5,12000,1,19000,20000,1
1383,2,-5,-5,-5,-5,-5,-5,-5
1384,2,0,8,-5,-5,-5,-5,-5
1385,2,7000,1,-5,-5,-5,-5,-5
1386,2,0,1,-5,-5,-5,-5,-5
1387,2,-5,-5,-5,-5,-5,-5,-5
1388,2,-5,-5,-5,-5,-5,-5,-5
1389,1,500,4,16500,2,24000,30000,1
1390,1,-5,-5,-5,-5,-5,-5,-5
1391,1,600,1,7200,1,15000,18000,1
1392,1,1000,1,7000,3,10000,20000,3
1393,1,8000,1,-5,-5,-5,-5,-5
1394,1,-5,-5,-5,-5,-5,-5,-5
1395,1,20000,1,28000,1,40000,30000,1
1396,1,13000,1,22500,1,26500,33000,1
1397,1,26000,1,50000,1,23000,50000,1
1398,1,10000,1,5000,1,0,0,1
1399,1,16000,1,30000,1,50000,50000,1
1400,2,2500,1,-5,-5,-5,-5,-5
1401,2,0,2,-5,-5,-5,-5,-5
1402,1,-5,-5,-5,-5,-5,-5,-5
1403,1,5500,1,-5,-5,-5,-5,-5
1404,1,0,8,2500,1,8500,15000,1
1405,1,6000,1,-5,-5,-5,-5,-5
1406,1,0,2,-5,-5,-5,-5,-5
1407,1,2500,1,12000,1,17000,18000,2
1408,1,7300,1,16000,1,21000,23000,1
1409,1,13000,1,20000,2,25000,30000,1
1410,1,7000,1,25500,1,20000,0,2
1411,1,8500,1,6500,1,17000,18000,1
1412,1,10000,1,-5,-5,-5,-5,-5
1413,1,-5,-5,7600,1,12000,20000,1
1414,1,-5,-5,-5,-5,-5,-5,-5
1415,1,-5,-5,-5,-5,-5,-5,-5
1416,1,14500,1,21000,1,0,21000,1
1417,2,-5,-5,-5,-5,-5,-5,-5
1418,2,0,8,-5,-5,-5,-5,-5
1419,2,0,4,0,8,0,2000,6
1420,2,-5,-5,-5,-5,-5,-5,-5
1421,2,6000,2,7000,1,14000,9000,3
1422,2,7000,1,1500,1,-5,0,3
1423,2,700,3,10200,1,13000,17000,1
1424,2,9000,2,17000,1,-5,0,-5
1425,2,9000,1,13684,1,18500,13078,1
1426,2,5000,1,0,3,9000,9000,3
1427,2,-5,-5,-5,-5,-5,-5,-5
1428,1,-5,-5,18500,1,29000,42000,1
1429,1,1500,1,-5,-5,-5,2000,1
1430,1,0,1,800,1,13000,11000,1
1431,1,1800,1,19600,1,21000,27000,1
1432,1,1000,1,8500,1,0,10000,1
1433,1,9600,1,-5,-5,-5,-5,-5
1434,1,-5,-5,-5,-5,-5,-5,-5
1435,1,6500,1,-5,-5,-5,-5,-5
1436,1,11000,1,17500,1,20000,24000,1
1437,1,0,6,0,6,0,0,6
1438,1,1600,1,3200,1,0,0,1
1439,1,1000,1,11500,1,15000,18500,1
1440,1,5000,1,14000,1,18000,23000,1
1441,1,8000,1,14000,1,17000,22000,1
1442,2,-5,-5,-5,-5,-5,-5,-5
1443,2,700,1,-5,-5,25000,14000,-5
1444,2,900,1,6000,8,270,-4,1
1445,2,700,4,7500,1,16000,11000,3
1446,2,0,3,-5,-5,-5,-5,-5
1447,2,7000,1,1700,1,19500,-5,1
1448,2,8000,1,13000,3,-5,-5,-5
1449,2,500,8,10000,1,12000,8300,3
1450,2,3000,2,-5,-5,-5,-5,-5
1451,2,-5,-5,-5,-5,-5,-5,-5
1452,2,2100,1,-5,-5,-5,-5,-5
1453,2,7500,1,-5,-5,-5,-5,1
1454,2,5000,1,1000,3,-5,-5,-5
1455,2,-5,-5,-5,-5,-5,-5,-5
1456,2,-5,-5,-5,-5,-5,-5,-5
1457,2,-5,-5,-5,-5,-5,-5,-5
1458,1,18000,1,30000,1,44000,42000,3
1459,1,8000,1,15000,1,-4,12000,1
1460,1,9500,1,4500,3,0,3000,1
1461,1,15000,1,26000,1,30000,-5,1
1462,1,12000,1,20000,1,25000,30000,1
1463,1,13000,1,19000,1,22000,25000,1
1464,1,3000,1,16000,1,0,0,1
1465,1,6000,3,13000,1,20700,14000,1
1466,1,4550,1,-5,-5,-5,-5,-5
1467,1,11000,1,11500,1,15000,19000,1
1468,1,8900,1,14000,1,17000,24000,1
1469,1,3000,1,9000,3,23500,17000,1
1470,1,10000,1,10000,1,30000,25000,1
1471,1,-5,-5,-5,-5,-5,-5,-5
1472,1,-5,-5,4000,1,5000,32,1
1473,1,1540,1,0,6,0,0,8
1474,1,12000,1,23000,1,20000,25000,1
1475,1,12000,1,25000,1,15000,25000,1
1476,1,4000,4,3000,1,9000,0,2
1477,2,7000,1,-5,-5,-5,-5,-5
1478,2,-5,-5,-5,-5,-5,-5,-5
1479,2,9000,1,-5,-5,-5,-5,-5
1480,2,7000,1,12000,1,-5,17390,1
1481,2,-5,-5,-5,-5,-5,-5,-5
1482,2,-5,-5,-5,-5,-5,-5,-5
1483,2,-5,-5,-5,-5,-5,-5,-5
1484,2,4000,1,-5,-5,-5,-5,3
1485,2,-5,-5,14000,1,25750,18000,1
1486,2,-5,-5,1200,1,-5,3000,8
1487,1,13500,1,-5,-5,0,50000,1
1488,1,13000,1,0,1,0,50000,1
1489,1,9000,1,-5,-5,-5,-5,-5
1490,1,8000,1,18500,1,20000,-5,-5
1491,1,16000,1,27500,1,-5,50000,1
1492,2,2000,1,7300,1,16700,17000,1
1493,2,-5,-5,-5,-5,-5,-5,-5
1494,2,0,8,-5,-5,-5,-5,-5
1495,2,4900,2,7645,1,-5,-5,-5
1496,2,1500,3,3000,2,8000,11000,3
1497,2,8800,1,15000,1,17000,18000,1
1498,2,8500,1,14000,1,12000,20000,1
1499,1,17000,1,22000,1,25000,28000,1
1500,1,500,1,7000,1,0,0,1
1501,1,1520,1,9000,1,0,0,1
1502,1,400,1,15000,1,16500,14000,2
1503,1,1200,1,650,1,11500,13000,1
1504,1,10800,1,15000,1,20000,18000,2
1505,1,-5,-5,-5,-5,-5,-5,-5
1506,1,-4,1,15000,1,21000,30000,1
1507,2,-5,-5,-5,-5,-5,-5,-5
1508,1,9251,1,15000,1,16000,16400,1
1509,1,4400,1,-5,-5,-5,-5,-5
1510,1,16000,1,22000,1,24000,26000,1
1511,1,3325,1,12225,1,17056,19400,1
1512,1,-5,-5,7825,1,16600,20300,1
1513,1,1100,4,12600,1,17500,24500,1
1514,1,10800,1,14500,1,17000,22000,1
1515,1,-5,-5,15000,1,16200,21300,1
1516,1,11300,1,16000,1,18000,-5,1
1517,1,9400,1,17000,1,20000,24000,1
1518,1,24500,1,35000,1,45000,50000,1
1519,1,11200,1,-1,1,-1,-1,1
1520,1,10000,1,16500,1,20000,23500,1
1521,1,6800,1,19000,1,21000,25000,1
1522,1,-5,-5,-5,-5,-5,-5,-5
1523,1,9800,1,17000,1,20000,23520,1
1524,1,1200,1,-5,-5,-5,-5,3
1525,1,-5,-5,-5,-5,-5,-5,-5
1526,1,4000,1,14000,1,20000,24000,1
1527,1,3000,4,12000,1,15000,18800,1
1528,1,5200,1,-4,1,5000,5500,1
1529,1,7800,1,13000,1,15000,17000,1
1530,1,4000,1,11000,1,14000,17000,1
1531,1,5000,3,9500,3,18000,0,1
1532,1,2500,1,10000,1,0,15000,1
1533,1,950,1,-5,-5,-5,-5,-5
1534,2,5400,2,0,8,0,0,3
1535,1,8500,1,18000,1,25300,35000,1
1536,1,2500,1,18000,1,32000,18000,1
1537,1,6000,1,10000,1,2500,13500,1
1538,1,7000,1,-5,-5,-5,-5,-5
1539,1,7000,1,14500,1,16500,20000,1
1540,1,-5,-5,-5,-5,-5,-4,1
1541,1,4800,1,13980,1,20000,25000,1
1542,1,12000,1,23000,1,26000,35000,1
1543,1,8000,1,80,1,8000,15000,1
1544,1,10000,1,23000,1,42000,45000,1
1545,1,9000,1,15000,1,23000,16000,1
1546,2,-5,-5,-5,-5,-5,-5,-5
1547,2,-5,-5,-5,-5,-5,-5,-5
1548,2,1000,1,8000,1,19000,15000,-5
1549,1,-5,-5,-5,-5,-5,-5,-5
1550,1,-5,-5,-5,-5,-5,-5,1
1551,1,-5,-5,10400,1,20500,35000,1
1552,1,540,1,1600,4,4700,4200,1
1553,1,7000,1,8000,1,10000,10000,1
1554,1,-5,-5,11000,1,14000,21000,1
1555,1,7000,1,9200,3,8000,9800,3
1556,1,12000,1,14500,1,19000,25000,1
1557,1,-5,-5,10000,1,10000,18000,1
1558,1,-5,-5,13000,1,17000,21000,1
1559,1,10000,1,20000,1,23000,28000,1
1560,1,56,1,500,3,1500,4500,3
1561,1,4000,1,3000,1,15000,25000,-5
1562,1,2000,1,7100,4,10800,-5,-5
1563,1,10500,1,16500,1,18900,24000,1
1564,2,7400,1,11000,1,12000,20000,2
1565,2,-5,-5,10500,1,-5,15500,1
1566,2,-4,2,3600,1,18000,31000,1
1567,2,2000,1,-5,-5,-5,-5,-5
1568,1,-4,8,4000,1,-5,11000,3
1569,1,11200,1,22000,1,25000,33000,1
1570,1,6800,1,12000,1,10000,6000,1
1571,1,8500,1,11000,2,13000,18250,1
1572,1,-5,-5,-5,-5,-5,-5,-5
1573,1,4500,1,-5,-5,3000,-5,1
1574,1,0,1,7000,1,-5,-5,-5
1575,1,0,1,8500,1,7000,15000,1
1576,1,9900,1,15000,1,25000,32000,1
1577,1,-5,-5,9400,1,9000,12000,1
1578,1,2021,1,11000,1,11212,17000,1
1579,1,7200,1,8000,1,12000,31000,1
1580,1,2000,2,24000,1,24500,35000,1
1581,1,2420,4,7000,1,11005,2300,1
1582,1,8000,1,1200,1,14000,21000,1
1583,1,-5,-5,-5,-5,-5,-5,-5
1584,1,-5,-5,7500,3,9000,-5,-5
1585,1,7000,1,14000,3,16000,22000,1
1586,1,4000,1,3000,1,8500,8000,1
1587,1,-5,-5,14000,1,16000,18000,1
1588,1,6760,1,7000,1,18000,13000,1
1589,1,15000,1,10000,1,0,0,1
1590,1,-5,-5,-5,-5,-5,-5,-5
1591,1,4000,1,2000,3,3000,6000,1
1592,1,8000,1,0,1,0,13000,1
1593,1,10000,1,0,1,0,0,1
1594,1,2100,1,17000,1,-1,-4,1
1595,1,5000,1,15000,1,15000,18000,1
1596,1,0,1,0,1,0,0,1
1597,1,5500,1,21000,1,20000,-5,1
1598,1,8000,1,13200,1,16700,3000,1
1599,1,9400,1,11000,1,13000,24000,1
1600,1,-5,-5,23000,1,0,0,1
1601,1,3500,1,15300,1,16500,20000,1
1602,2,2200,1,-5,-5,-5,-5,1
1603,2,-5,-5,-5,-5,-5,-5,-5
1604,1,12000,1,29500,2,36700,43000,1
1605,1,3600,1,11000,1,8200,18000,2
1606,1,5646,1,8000,1,10400,16000,1
1607,1,12000,1,19000,1,35000,-5,-5
1608,1,3700,1,14000,1,18000,23000,1
1609,2,9300,1,8000,1,-5,-5,-5
1610,1,3000,4,9000,1,14000,16000,1
1611,1,700,4,4000,1,4000,12000,3
1612,1,5500,1,12308,1,16500,20500,1
1613,1,4500,3,7800,1,10700,13000,1
1614,1,6000,1,15000,1,17000,25000,1
1615,1,5200,1,19500,1,9000,21000,1
