"R0000100","R0002300","R0365500","R0385200","R0530300","R0543950","R0587700","R0635500","R0682100"
567,2,8500,1,20000,1,17000,15600,2
568,2,-5,-5,-5,-5,-5,-5,-5
569,1,9000,1,-5,-5,-5,-5,-5
570,1,2000,8,7000,1,6750,8000,1
571,1,8500,1,23000,1,28000,30000,1
572,1,-5,-5,12000,1,15000,17680,1
573,1,-5,-5,-5,-5,-5,-5,-5
574,1,-5,-5,-5,-5,-5,-5,-5
575,1,500,1,8100,1,-5,-5,4
576,1,-5,-5,5250,1,-5,-5,-5
577,2,6200,1,0,8,6500,-5,-5
578,2,1790,6,0,1,3151,-5,-5
579,2,5200,1,-5,-5,-5,-5,-5
580,2,-5,-5,-5,-5,-5,-5,-5
581,1,-5,-5,10000,1,-5,-5,-5
582,1,-5,-5,1400,1,-5,-5,-5
583,1,400,1,15500,1,22000,26000,1
584,1,6200,1,7000,1,10000,0,1
585,1,3000,2,15000,2,-5,-5,1
586,1,-5,-5,10000,1,17000,0,1
587,1,-4,1,-5,-5,-5,-5,-5
588,1,7280,1,11000,1,-5,-5,-5
589,1,-5,-5,-5,-5,-5,-5,-5
590,1,10000,1,14000,1,16500,0,1
591,1,13000,1,13000,1,11520,16640,1
592,1,13000,1,13500,1,16000,17000,1
593,1,8800,1,17500,1,17500,18200,1
594,1,22000,1,50000,1,50000,0,1
595,1,7000,1,19020,1,22000,18600,1
596,1,-5,-5,-5,-5,-5,-5,-5
597,1,-5,-5,-5,-5,-5,-5,-5
598,1,800,4,13000,1,25000,28000,1
599,2,-5,-5,-5,-5,-5,-5,-5
600,2,-5,-5,-5,-5,-5,-5,-5
601,2,3000,1,8000,1,9000,11440,1
602,2,400,8,-5,-5,-5,-5,-5
603,2,-5,-5,-5,-5,-5,-5,-5
604,2,-5,-5,-5,-5,-5,-5,-5
605,1,12000,1,20000,1,23000,21500,1
606,2,4000,1,0,3,1500,-5,-5
607,2,4000,1,-5,-5,-5,-5,-5
608,1,-5,-5,-5,-5,-5,-5,-5
609,3,2500,3,0,8,5130,7640,1
610,1,6000,1,-5,-5,7880,0,6
611,2,1000,1,0,6,0,-5,3
612,1,13000,1,18000,1,18000,18000,1
613,1,13000,1,3600,1,0,0,1
614,1,-5,-5,-5,-5,-5,-5,-5
615,1,13500,1,20000,1,31800,38000,1
616,1,1400,1,1300,1,-1,-1,1
617,1,9000,1,12000,1,0,-5,-5
618,1,10000,1,33000,1,40000,50000,1
619,1,-5,-5,12000,1,20800,20000,1
620,1,10000,1,15000,1,-1,-1,1
621,1,7800,1,12000,1,10800,-1,1
622,2,7400,1,-5,-5,-5,-5,-5
623,1,5000,1,240,3,7400,8000,1
624,1,5000,1,10000,1,11350,7800,1
625,2,3800,1,-5,-5,-5,-5,-5
626,2,1000,1,1000,1,10000,8000,1
627,2,720,3,4301,1,9000,6720,3
628,1,1600,4,18000,1,-5,-5,1
629,1,1000,1,3000,1,7000,10000,1
630,1,7500,1,0,1,30000,3400,3
631,1,1200,3,-5,-5,10000,0,3
632,1,-5,-5,10000,1,22000,17000,1
633,1,950,4,9000,1,10000,13500,1
634,1,11500,1,-5,-5,-5,-5,-5
635,1,8000,1,15000,1,18200,23000,1
636,1,-5,-5,-5,-5,-5,-5,-5
637,1,11500,1,0,1,-5,-5,-5
638,1,0,1,0,1,0,0,1
639,1,-5,-5,-5,-5,-5,-5,-5
640,1,11000,1,21000,1,10000,7000,1
641,1,11000,2,16000,2,19000,20000,1
642,1,8900,1,-5,-5,-5,-5,-5
643,2,0,4,-5,-5,-5,-5,1
644,2,10500,1,22000,1,26000,30000,1
645,2,100,4,-5,-5,-5,-5,-5
646,1,-5,-5,-5,-5,-5,-5,-5
647,2,9600,1,11000,1,15000,12600,1
648,1,8500,1,16000,1,12000,-5,1
649,1,14700,1,19000,1,-5,34000,1
650,1,-5,-5,-5,-5,-5,-5,-5
651,1,500,1,2400,2,12000,10450,-5
652,1,13000,1,25000,1,31000,-1,1
653,1,300,4,17000,1,-1,-1,-5
654,1,6000,1,15000,1,16000,25000,1
655,1,9145,1,15000,1,19300,24000,1
656,1,3600,1,17000,1,20000,-1,1
657,1,6000,1,-5,-5,-5,-5,-5
658,1,500,4,16500,1,30000,40000,1
659,1,11500,1,-5,-5,-5,-5,-5
660,1,1000,1,8000,1,10500,-5,1
661,1,-5,-5,-5,-5,-5,-5,-5
662,1,4200,4,8500,1,9016,11500,1
663,1,3500,1,5900,1,14000,-5,1
664,2,-5,-5,-5,-5,-5,-5,-5
665,1,-5,-5,-5,-5,-5,-5,-5
666,1,5000,1,-5,-5,-5,-5,-5
667,1,8400,1,14439,2,17001,23000,2
668,1,5136,2,-1,1,20000,-5,-5
669,1,12000,1,21100,1,25000,29000,1
670,1,16500,1,0,1,31000,0,1
671,3,10000,4,29000,1,28000,34000,1
672,3,1500,4,-5,-5,-5,-5,-5
673,3,8500,1,40000,1,50000,50000,1
674,2,-5,-5,-5,-5,-5,-5,-5
675,1,5000,1,13000,1,25000,16200,1
676,2,6000,1,13800,1,4520,15750,3
677,1,7000,1,20000,1,33124,36000,1
678,1,600,1,-5,-5,-5,-5,-5
679,1,15000,1,22000,1,0,0,1
680,1,7800,1,23000,1,22000,29500,1
681,1,2500,4,17000,1,23000,28000,1
682,1,-5,-5,9000,1,10000,12000,1
683,1,-5,-5,-5,-5,-5,-5,-5
684,1,886,1,14200,1,24000,35000,-5
685,1,200,4,16000,1,13000,10000,1
686,1,0,1,30000,1,40000,0,1
687,1,10000,1,24000,1,27000,40000,-5
688,1,14000,1,-5,-5,-5,-5,-5
689,1,9000,1,20000,1,17900,18000,1
690,1,0,3,-5,-5,-5,-5,-5
691,1,0,4,13000,1,22000,25000,1
692,1,0,4,12000,1,14400,22486,1
693,1,54,1,-5,-5,-5,-5,-5
694,1,-5,-5,0,6,0,0,6
695,1,13000,1,18200,1,28000,0,1
696,2,-5,-5,-5,-5,-5,-5,-5
697,2,-5,-5,-5,-5,-5,-5,-5
698,2,-5,-5,-5,-5,-5,-5,-5
699,2,-5,-5,-5,-5,-5,-5,-5
700,1,-5,-5,-5,-5,-5,-5,-5
701,1,-5,-5,-5,-5,-5,-5,-5
702,1,-5,-5,-5,-5,-5,-5,-5
703,1,550,1,11000,1,15300,17350,1
704,1,8000,1,11000,1,15000,15000,1
705,1,0,1,35000,1,30000,0,1
706,1,0,1,30000,1,36000,0,1
707,2,-5,-5,-5,-5,-5,-5,-5
708,2,8000,1,9000,1,23000,26000,1
709,1,16000,1,27000,1,-5,30000,1
710,1,5200,1,14000,3,7425,20000,1
711,2,1000,3,900,1,0,-5,-5
712,2,3000,1,-4,1,-5,-5,-5
713,2,500,1,-5,-5,-5,-5,-5
714,1,6000,1,13000,1,17000,27000,1
715,1,12150,1,19000,1,21000,28000,1
716,1,10000,2,-5,-5,-5,-5,-5
717,1,14000,1,17500,1,21000,24000,1
718,1,-4,1,-5,-5,-5,-5,-5
719,1,-5,-5,15000,1,20000,24000,1
720,1,11000,1,-5,-5,-5,-5,-5
721,1,12000,1,13000,1,-4,14000,1
722,1,12000,1,-5,-5,-5,-5,-5
723,1,-5,-5,-5,-5,-5,-5,-5
724,1,0,3,-5,-5,-5,-5,-5
725,1,11000,1,18000,1,48100,30000,1
726,1,700,4,-5,-5,-5,-5,-5
727,1,5000,1,13200,1,16800,22000,1
728,1,13000,1,-1,1,-1,0,1
729,1,1000,4,15000,2,14500,17000,1
730,1,0,4,0,4,12000,14000,1
731,1,9500,1,0,1,-5,-5,-5
732,1,320,3,0,1,0,22000,1
733,1,3500,1,6500,1,10920,17000,1
734,1,12100,1,16000,1,21000,23000,1
735,2,-5,-5,14000,1,20000,24000,1
736,2,-5,-5,-5,-5,-5,-5,-5
737,2,-5,-5,-5,-5,-5,-5,-5
738,1,14000,1,-5,-5,-5,-5,-5
739,1,6900,1,-5,-5,-5,-5,-5
740,1,-5,-5,-5,-5,-5,-5,-5
741,1,-5,-5,-5,-5,-5,-5,-5
742,1,0,1,25000,1,-1,40000,1
743,1,17500,1,37000,1,0,-5,1
744,1,2400,1,16000,1,20000,50000,1
745,1,-5,-5,-5,-5,-5,-5,-5
746,1,-5,-5,-5,-5,-5,-5,-5
747,1,-5,-5,6000,1,-5,12000,1
748,2,-5,-5,-5,-5,-5,-5,-5
749,2,5000,1,5200,1,3000,-4,1
750,2,15000,1,11500,1,-1,16000,-5
751,2,14000,1,15000,1,21000,28000,1
752,1,0,3,10000,1,11000,15500,-5
753,1,-4,1,7000,1,-5,0,6
754,1,2000,1,16000,1,-1,-1,1
755,1,5280,1,-5,-5,-5,-5,1
756,1,-5,-5,11000,1,-1,18600,1
757,1,600,1,10100,1,11000,13000,1
758,1,6000,1,17000,1,26000,40000,1
759,1,-4,1,40000,1,-1,-1,1
760,1,-5,-5,-5,-5,-5,-5,-5
761,1,-5,-5,-5,-5,-5,-5,-5
762,1,14000,1,25000,1,32000,39500,1
763,1,10000,1,13400,1,14500,15500,1
764,1,9500,1,15000,1,23000,26000,1
765,1,420,4,7500,1,13000,10000,1
