"R0000100","R0002300","R0385200","R0543950","R0682100"
290,1,3,3,1
291,1,-5,1,1
292,1,-5,1,1
293,1,4,1,1
294,1,4,1,-5
295,1,1,1,1
296,1,1,-5,-5
297,1,1,1,1
298,1,8,1,1
299,1,3,-5,1
300,1,1,1,1
301,1,-5,3,-5
302,1,1,1,1
303,1,8,-5,-5
304,1,4,1,1
305,1,-5,-5,-5
306,1,1,1,1
307,1,1,1,1
308,1,1,1,1
309,1,1,2,-5
310,1,-5,-5,6
311,1,1,-5,-5
312,1,1,1,1
313,1,1,1,2
314,1,2,1,-5
315,1,1,3,-5
316,1,3,1,-5
317,2,-5,1,1
318,1,3,1,1
319,1,-5,-5,1
320,1,1,1,1
321,1,1,-5,-5
322,1,1,1,1
323,1,3,1,1
324,1,1,1,-5
325,1,-5,1,-5
326,1,1,1,1
327,1,-5,-5,-5
328,1,1,1,1
329,2,1,3,1
330,1,1,1,1
331,2,-5,1,-5
332,1,1,1,1
333,1,1,1,1
334,1,-5,1,6
335,1,3,8,1
336,1,-5,1,1
337,1,1,-5,-5
338,1,-5,-5,-5
339,1,1,1,1
340,1,1,1,1
341,2,1,1,1
342,2,-5,-5,-5
343,2,-5,-5,-5
344,1,1,1,1
345,1,3,1,1
346,1,-5,1,1
347,1,-5,1,1
348,1,1,1,1
349,1,1,1,1
350,1,8,1,1
351,1,1,1,1
352,1,1,1,1
353,1,1,1,1
354,1,-5,-5,-5
355,1,1,1,1
356,1,1,1,1
357,1,3,1,1
358,1,1,1,1
359,1,1,1,1
360,1,1,1,1
361,1,1,1,1
362,1,1,1,1
363,1,1,1,1
364,1,1,1,1
365,1,1,1,1
366,1,1,1,-5
367,1,1,1,1
368,1,1,1,1
369,1,-5,-5,-5
370,1,1,2,1
371,1,1,-5,-5
372,1,1,3,1
373,1,-5,-5,-5
374,1,1,2,1
375,1,2,1,1
376,1,-5,-5,-5
377,1,1,1,1
378,1,1,1,1
379,1,1,1,1
380,1,1,1,1
381,1,3,4,1
382,1,1,3,-5
383,1,3,1,1
384,1,1,4,1
385,1,3,3,1
386,1,4,1,1
387,1,1,1,1
388,1,1,1,1
389,1,1,-5,1
390,1,1,1,1
391,1,1,1,1
392,1,-5,-5,-5
393,1,1,1,1
394,1,1,-5,1
395,1,-5,-5,-5
396,2,1,1,1
397,1,4,1,1
398,1,1,1,1
399,1,1,1,1
400,1,1,1,1
401,2,1,-5,1
402,2,1,3,1
403,2,1,1,1
404,2,1,1,1
405,1,1,-5,-5
406,1,1,1,1
407,1,-5,-5,-5
408,1,3,-5,-5
409,1,3,1,1
410,1,1,1,1
411,1,2,1,1
412,1,4,4,1
413,1,4,4,-5
414,1,4,1,1
415,1,4,1,3
416,1,1,1,8
417,1,1,1,1
418,1,1,1,1
419,1,1,1,1
420,1,1,1,1
421,1,1,1,1
422,1,1,-5,-5
423,1,4,3,4
424,1,1,1,2
425,1,1,1,1
426,1,1,3,1
427,1,1,1,1
428,1,1,1,1
429,1,1,1,1
430,1,1,1,1
431,1,-5,-5,-5
432,1,3,1,1
433,1,1,1,1
434,1,1,1,1
435,1,4,1,1
436,1,-5,-5,-5
437,1,1,1,1
438,1,-5,-5,1
439,1,1,1,1
440,1,-5,-5,-5
441,1,1,1,1
442,1,1,1,1
443,1,1,1,-5
444,1,4,1,1
445,1,1,1,3
446,1,1,2,1
447,1,1,3,1
448,1,-5,-5,-5
449,1,1,1,1
450,1,-5,1,1
451,1,3,-5,-5
452,1,-5,-5,-5
453,1,3,1,1
454,1,1,1,1
455,1,1,-5,-5
456,1,1,1,1
457,1,1,1,-5
458,1,4,3,1
459,1,1,1,2
460,1,1,-5,-5
461,1,3,1,1
462,1,3,3,1
463,1,8,-5,1
464,1,1,1,-5
465,1,-5,-5,-5
466,1,1,-5,8
467,1,1,1,1
468,1,1,1,1
469,2,1,1,3
470,2,1,-5,1
471,2,2,6,1
472,2,1,-5,-5
473,2,1,1,3
474,1,4,1,1
475,2,1,1,1
476,1,-5,-5,-5
477,1,1,1,1
478,1,3,1,1
479,1,1,1,1
480,1,-5,-5,-5
481,1,-5,1,1
482,1,2,-5,-5
483,1,3,-5,-5
484,1,1,3,1
485,1,4,1,1
486,1,1,1,-5
487,1,1,1,-5
488,1,1,1,1
489,1,8,1,1
490,1,1,1,1
491,1,1,1,1
492,1,1,1,-5
493,1,1,-5,-5
494,2,1,1,1
495,1,1,1,1
496,1,1,1,1
497,1,1,1,1
498,1,8,8,1
499,1,1,1,1
500,1,-5,1,1
501,1,1,1,1
502,1,1,1,-5
503,1,1,-5,-5
504,1,1,1,1
505,1,4,1,1
506,1,1,1,2
507,1,-5,-5,-5
508,1,1,1,1
509,1,1,1,1
510,1,1,1,1
511,1,1,1,1
512,1,1,1,1
513,1,1,-5,-5
514,1,1,1,1
515,1,1,1,1
516,1,-5,1,1
517,1,1,1,1
518,1,-5,1,1
519,1,-5,1,1
520,1,1,1,1
521,1,-5,3,-5
522,1,-5,1,3
523,1,1,1,1
524,1,1,1,1
525,1,4,1,1
526,1,1,1,1
527,1,1,1,1
528,1,-5,-5,-5
529,1,-5,1,-5
530,1,-5,-5,-5
531,1,1,1,1
532,1,1,1,1
533,1,1,1,1
534,1,1,1,1
535,1,1,-5,-5
536,1,1,1,1
537,1,1,1,1
538,1,1,1,1
539,1,3,1,-5
540,2,3,1,1
541,1,-5,-5,-5
542,1,-5,1,1
543,1,1,1,1
544,1,1,1,1
545,1,1,1,1
546,1,-5,1,1
547,1,1,1,1
548,1,1,3,1
549,1,-5,-5,-5
550,1,4,-5,-5
551,1,1,1,-5
552,1,1,1,1
553,1,1,1,1
554,2,-5,-5,-5
555,2,-5,-5,-5
556,2,1,-5,-5
557,2,-5,-5,-5
558,2,-5,-5,-5
559,2,1,-5,-5
560,2,-5,-5,-5
561,1,6,1,-5
562,1,1,1,-5
563,1,1,-5,4
564,1,1,1,1
565,1,1,1,-5
566,2,6,-5,-5
567,2,1,1,2
568,2,-5,-5,-5
569,1,1,-5,-5
570,1,8,1,1
571,1,1,1,1
572,1,-5,1,1
573,1,-5,-5,-5
574,1,-5,-5,-5
575,1,1,1,4
576,1,-5,1,-5
577,2,1,8,-5
578,2,6,1,-5
579,2,1,-5,-5
580,2,-5,-5,-5
581,1,-5,1,-5
582,1,-5,1,-5
583,1,1,1,1
584,1,1,1,1
585,1,2,2,1
586,1,-5,1,1
587,1,1,-5,-5
588,1,1,1,-5
589,1,-5,-5,-5
590,1,1,1,1
591,1,1,1,1
592,1,1,1,1
593,1,1,1,1
594,1,1,1,1
595,1,1,1,1
596,1,-5,-5,-5
597,1,-5,-5,-5
598,1,4,1,1
599,2,-5,-5,-5
600,2,-5,-5,-5
601,2,1,1,1
602,2,8,-5,-5
603,2,-5,-5,-5
604,2,-5,-5,-5
605,1,1,1,1
606,2,1,3,-5
607,2,1,-5,-5
608,1,-5,-5,-5
609,3,3,8,1
610,1,1,-5,6
611,2,1,6,3
612,1,1,1,1
613,1,1,1,1
614,1,-5,-5,-5
615,1,1,1,1
616,1,1,1,1
617,1,1,1,-5
618,1,1,1,1
619,1,-5,1,1
620,1,1,1,1
621,1,1,1,1
622,2,1,-5,-5
623,1,1,3,1
624,1,1,1,1
625,2,1,-5,-5
626,2,1,1,1
627,2,3,1,3
628,1,4,1,1
629,1,1,1,1
630,1,1,1,3
631,1,3,-5,3
632,1,-5,1,1
633,1,4,1,1
634,1,1,-5,-5
635,1,1,1,1
636,1,-5,-5,-5
637,1,1,1,-5
638,1,1,1,1
639,1,-5,-5,-5
640,1,1,1,1
641,1,2,2,1
642,1,1,-5,-5
643,2,4,-5,1
644,2,1,1,1
645,2,4,-5,-5
646,1,-5,-5,-5
647,2,1,1,1
648,1,1,1,1
649,1,1,1,1
650,1,-5,-5,-5
651,1,1,2,-5
652,1,1,1,1
653,1,4,1,-5
654,1,1,1,1
655,1,1,1,1
656,1,1,1,1
657,1,1,-5,-5
658,1,4,1,1
659,1,1,-5,-5
660,1,1,1,1
661,1,-5,-5,-5
662,1,4,1,1
663,1,1,1,1
664,2,-5,-5,-5
665,1,-5,-5,-5
666,1,1,-5,-5
667,1,1,2,2
668,1,2,1,-5
669,1,1,1,1
670,1,1,1,1
671,3,4,1,1
672,3,4,-5,-5
673,3,1,1,1
674,2,-5,-5,-5
675,1,1,1,1
676,2,1,1,3
677,1,1,1,1
678,1,1,-5,-5
679,1,1,1,1
680,1,1,1,1
681,1,4,1,1
682,1,-5,1,1
683,1,-5,-5,-5
684,1,1,1,-5
685,1,4,1,1
686,1,1,1,1
687,1,1,1,-5
688,1,1,-5,-5
689,1,1,1,1
690,1,3,-5,-5
691,1,4,1,1
692,1,4,1,1
693,1,1,-5,-5
694,1,-5,6,6
695,1,1,1,1
696,2,-5,-5,-5
697,2,-5,-5,-5
698,2,-5,-5,-5
699,2,-5,-5,-5
700,1,-5,-5,-5
701,1,-5,-5,-5
702,1,-5,-5,-5
703,1,1,1,1
704,1,1,1,1
705,1,1,1,1
706,1,1,1,1
707,2,-5,-5,-5
708,2,1,1,1
709,1,1,1,1
710,1,1,3,1
711,2,3,1,-5
712,2,1,1,-5
713,2,1,-5,-5
714,1,1,1,1
715,1,1,1,1
716,1,2,-5,-5
717,1,1,1,1
718,1,1,-5,-5
719,1,-5,1,1
720,1,1,-5,-5
721,1,1,1,1
722,1,1,-5,-5
723,1,-5,-5,-5
724,1,3,-5,-5
725,1,1,1,1
726,1,4,-5,-5
727,1,1,1,1
728,1,1,1,1
729,1,4,2,1
730,1,4,4,1
731,1,1,1,-5
732,1,3,1,1
733,1,1,1,1
734,1,1,1,1
735,2,-5,1,1
736,2,-5,-5,-5
737,2,-5,-5,-5
738,1,1,-5,-5
739,1,1,-5,-5
740,1,-5,-5,-5
741,1,-5,-5,-5
742,1,1,1,1
743,1,1,1,1
744,1,1,1,1
745,1,-5,-5,-5
746,1,-5,-5,-5
747,1,-5,1,1
748,2,-5,-5,-5
749,2,1,1,1
750,2,1,1,-5
751,2,1,1,1
752,1,3,1,-5
753,1,1,1,6
754,1,1,1,1
755,1,1,-5,1
756,1,-5,1,1
757,1,1,1,1
758,1,1,1,1
759,1,1,1,1
760,1,-5,-5,-5
761,1,-5,-5,-5
762,1,1,1,1
763,1,1,1,1
764,1,1,1,1
765,1,4,1,1
766,1,1,1,1
767,1,4,1,-5
768,1,1,2,1
769,1,-5,-5,-5
770,1,4,1,1
771,1,-5,-5,-5
772,1,-5,1,1
773,1,-5,1,1
774,1,3,1,1
775,1,1,1,1
776,1,1,1,1
777,1,3,1,1
778,1,1,1,1
779,1,-5,2,1
780,1,-5,-5,-5
781,1,1,1,1
782,1,-5,-5,-5
783,1,1,1,-5
784,1,1,1,1
785,1,1,1,1
786,1,1,1,1
787,1,1,1,1
788,1,1,-5,-5
789,1,1,-5,-5
790,1,1,1,-5
791,1,-5,1,1
792,1,1,1,-5
793,1,1,-5,-5
794,2,-5,4,-5
795,2,1,-5,-5
796,2,1,-5,-5
797,2,1,-5,-5
798,2,1,2,1
799,2,4,1,3
800,1,1,2,-5
801,1,1,1,1
802,1,4,1,1
803,1,1,1,6
804,2,1,1,1
805,1,1,1,1
806,1,-5,-5,4
807,1,-5,2,1
808,1,-5,-5,4
809,2,1,1,1
810,2,1,1,1
811,2,1,-5,-5
812,2,-5,-5,-5
813,1,1,1,1
814,1,1,1,1
815,1,1,1,1
816,1,1,1,1
817,1,1,1,1
818,1,1,1,1
819,1,1,3,1
820,1,1,1,1
821,1,1,1,1
822,1,1,3,-5
823,1,-5,-5,-5
824,1,1,1,1
825,2,3,-5,-5
826,2,8,-5,-5
827,1,1,1,1
828,1,1,4,1
829,1,1,-5,-5
830,1,-5,-5,-5
831,1,-5,-5,-5
832,2,-5,3,1
833,2,1,-5,1
834,1,1,3,1
835,1,1,1,-5
836,1,1,1,1
837,1,8,8,-5
838,1,1,1,1
839,1,2,1,1
840,2,-5,1,-5
841,1,1,1,-5
842,1,4,1,6
843,1,3,-5,-5
844,1,1,-5,-5
845,1,1,1,-5
846,1,-5,1,1
847,1,-5,2,1
848,1,1,1,-5
849,1,1,1,-5
850,1,1,1,1
851,1,1,1,-5
852,1,-5,1,-5
853,1,-5,-5,-5
854,1,-5,-5,-5
855,1,1,-5,1
856,1,-5,-5,-5
857,1,-5,1,1
858,2,1,1,1
859,1,1,1,1
860,1,1,-5,-5
861,1,-5,-5,-5
862,1,1,1,-5
863,1,1,1,1
864,1,-5,1,-5
865,1,1,1,1
866,1,4,1,1
867,1,-5,1,1
868,1,1,-5,-5
869,1,-5,-5,-5
870,1,1,1,1
871,1,-5,1,1
872,1,-5,1,1
873,1,1,1,1
874,1,-5,-5,-5
875,1,4,1,1
876,1,4,3,-5
877,1,-5,-5,-5
878,1,4,1,1
879,1,1,1,1
880,1,1,1,-5
881,1,1,1,1
882,1,1,1,1
883,1,3,1,1
884,1,1,1,1
885,1,1,1,3
886,1,3,1,1
887,1,1,1,1
888,1,1,1,1
889,1,3,1,1
890,1,1,1,1
891,1,1,1,2
892,1,3,1,1
893,1,-5,1,1
894,1,-5,1,4
895,1,1,1,1
896,1,1,-5,-5
897,1,1,1,1
898,1,1,-5,-5
899,1,1,1,1
900,1,1,1,1
901,1,-5,1,1
902,1,1,1,1
903,1,1,1,1
904,1,-5,1,1
905,1,1,2,1
906,1,-5,-5,-5
907,1,-5,-5,-5
908,1,1,1,1
909,1,1,3,1
910,1,1,4,1
911,1,1,1,1
912,1,1,3,-5
913,1,1,1,3
914,1,1,1,8
915,1,1,1,1
916,1,1,1,-5
917,1,1,1,1
918,1,1,8,1
919,1,1,1,1
920,1,-5,4,3
921,1,1,3,1
922,1,1,-5,-5
923,1,4,-5,1
924,1,1,1,3
925,1,-5,1,1
926,1,1,-5,-5
927,1,1,1,-5
928,1,1,1,1
929,1,2,3,1
930,1,-5,-5,1
931,1,4,1,1
932,1,1,1,-5
933,1,1,1,1
934,1,-5,-5,-5
935,1,1,3,1
936,1,1,1,1
937,1,1,-5,-5
938,1,1,2,3
939,1,1,1,1
940,1,3,1,1
941,1,2,1,1
942,1,-5,1,3
943,1,1,1,1
944,1,4,1,1
945,1,-5,1,1
946,1,-5,1,1
947,1,4,1,1
948,1,4,1,1
949,1,1,1,1
950,1,1,-5,-5
951,1,1,2,1
952,1,8,-5,-5
953,1,1,1,1
954,1,1,1,1
955,1,-5,-5,-5
956,1,1,1,1
957,1,1,1,1
958,1,1,2,1
959,1,1,1,1
960,1,-5,-5,-5
961,1,2,1,1
962,1,-5,-5,-5
963,1,1,1,1
964,1,6,4,-5
965,1,1,1,1
966,1,1,3,3
967,1,1,1,1
968,1,1,1,1
969,1,1,1,1
970,1,1,-5,1
971,1,1,1,1
972,1,1,1,1
973,1,1,1,-5
974,1,1,1,1
975,1,1,1,1
976,1,1,1,1
977,1,1,1,1
978,1,-5,1,-5
979,1,1,1,-5
980,1,1,1,-5
981,1,1,3,1
982,1,1,-5,1
983,1,1,1,1
984,1,1,1,1
985,1,1,1,1
986,1,1,1,1
987,1,1,1,-5
988,1,-5,1,1
989,1,4,1,2
990,1,1,1,1
991,1,1,1,1
992,1,4,4,1
993,1,-5,-5,-5
994,1,1,-5,-5
995,1,1,-5,-5
996,1,1,1,1
997,1,-5,1,1
998,1,1,1,-5
999,1,-5,1,1
1000,1,-5,-5,-5
1001,1,-5,-5,-5
1002,1,-5,-5,-5
1003,1,1,-5,-5
1004,1,1,1,1
1005,1,1,1,1
1006,1,1,1,3
1007,1,-5,-5,-5
1008,1,4,1,1
1009,1,1,1,1
1010,1,-5,1,1
1011,1,1,1,1
1012,1,1,1,1
1013,1,1,1,1
1014,1,1,1,1
1015,1,1,1,1
1016,1,1,1,1
1017,1,1,1,1
1018,1,1,2,1
1019,1,1,-5,-5
1020,1,1,2,1
1021,1,1,1,1
1022,1,1,-5,-5
1023,1,4,1,1
1024,1,-5,1,-5
1025,1,1,1,1
1026,1,1,1,1
1027,1,3,1,3
1028,1,1,1,1
1029,1,-5,-5,-5
1030,1,1,1,1
1031,1,1,1,1
1032,1,-5,-5,-5
1033,1,1,1,1
1034,1,1,1,1
1035,1,-5,-5,-5
1036,1,1,1,1
1037,1,1,1,1
1038,1,1,1,1
1039,1,1,-5,1
1040,1,1,1,1
1041,1,3,3,1
1042,1,4,-5,-5
1043,1,-5,1,1
1044,1,1,1,1
1045,1,4,-5,1
1046,1,1,1,1
1047,1,1,1,1
1048,1,1,1,1
1049,1,1,1,1
1050,1,1,1,-5
1051,1,1,1,1
1052,1,1,1,1
1053,1,1,1,1
1054,1,1,1,1
1055,1,-5,1,-5
1056,1,1,1,1
1057,1,1,-5,-5
1058,1,1,1,1
1059,1,1,1,1
1060,1,1,1,1
1061,1,1,1,1
1062,1,1,1,1
1063,1,4,1,1
1064,1,1,1,1
1065,1,1,1,1
1066,1,1,-5,-5
1067,1,1,1,1
1068,1,1,1,1
1069,1,1,-5,-5
1070,1,1,1,1
1071,1,3,1,-5
1072,2,-5,-5,-5
1073,2,-5,-5,-5
1074,2,3,-5,-5
1075,2,1,3,1
1076,2,4,1,1
1077,2,1,1,1
1078,2,2,1,1
1079,1,1,1,1
1080,1,8,1,-5
1081,2,1,1,1
1082,2,-5,-5,-5
1083,2,-5,-5,-5
1084,1,1,1,1
1085,1,-5,-5,1
1086,2,8,3,3
1087,2,1,-5,3
1088,1,1,1,1
1089,1,1,1,1
1090,1,4,1,1
1091,1,4,1,3
1092,2,1,-5,-5
1093,2,1,-5,-5
1094,1,1,1,1
1095,1,1,2,1
1096,1,1,1,3
1097,1,1,1,1
1098,1,4,1,2
1099,1,-5,1,1
1100,1,-5,1,6
1101,1,1,1,1
1102,1,1,1,1
1103,1,8,1,-5
1104,1,1,1,1
1105,1,1,1,1
1106,1,-5,-5,-5
1107,1,1,1,-5
1108,1,1,1,1
1109,1,-5,-5,-5
1110,1,1,1,3
1111,1,-5,1,1
1112,1,1,1,1
1113,1,1,1,-5
